applicant_name,applicant_licence_no,regno,nappi_code,name,schedule,dosage_form,pack_size,is_generic,num_packs,equivalence_key,sep,effective_date
Glaxosmithkline South Africa (Pty) Ltd,1200.0,32/2.5/0459,891708006,Lamictin P50,S3,Dsp,60,Originator,1,,222.56,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,x/30.1/259,884039002,Mencevax Acwy Single Dose Vial,S4,Vac,1,Originator,1,,165.81,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,32/5.10/0462,862231019,Zofran Zydis,S4,Dsp,10,Originator,1,,971.14,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,32/5.10/0461,862223008,Zofran Zydis,S4,Dsp,10,Originator,1,,629.11,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/2.9/0079,853097003,Ultiva 2 Mg,S6,Inj,5,Originator,5,,1249.36,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,32/7.3/0463,848808002,Naramig,S4,Tab,4,Originator,1,,225.4,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,v/20.2.8/211,837350026,Retrovir,S4,Cap,60,Originator,1,,388.31,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,e/20.1.2/119,835021009,Amoxil D,S4,Drp,125,Originator,1,,75.12,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/17.1/0445,827975007,Nimbex 2 Mg/Ml (10 Ml),S4,Inj,10,Originator,5,,1032.84,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/17.1/0444,827967004,Nimbex 2 Mg/Ml (5 Ml),S4,Inj,5,Originator,5,,516.41,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/17.1/0255,827959001,"Nimbex 2 Mg/Ml (2,5 Ml)",S4,Inj,3,Originator,5,,258.22,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,r/20.2.8/271,826340016,Zovirax Cream,S4,Cre,2,Originator,1,,33.79,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,r/20.2.8/271,826340008,Zovirax Cream,S4,Cre,10,Originator,1,,168.95,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,27/20.2.8/0466,823473007,Activir Pump Pack,S1,Cre,2,Originator,1,,59.7,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,30/11.4.3/0041,822817022,Zantac 75,S2,Tab,12,Originator,1,,43.68,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,30/11.4.3/0040,822817021,Zantac 75,S2,Tab,6,Originator,1,,21.84,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,30/11.4.3/0040,822817020,Zantac 75,S2,Tab,24,Originator,1,,107.4,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,29/30.1/0310,822361019,Havrix 1440,S2,Vac,1,Originator,1,,241.24,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,30/20.2.8/0367,821640003,3Tc Oral Solution,S4,Syr,240,Originator,1,,105.11,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,30/20.2.8/0366,821632019,3 Tc Tablets,S4,Tab,60,Originator,1,,148.1,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,28/5.7.1/0478,820946028,Zyrtec Oral Solution 1 Mg/Ml,S2,Sol,150,Originator,1,,200.5,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,29/2.5/0472,819034002,Lamictin 200,S3,Tab,60,Originator,1,,659.2,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,29/20.2.8/0442,817783024,Zelitrex 500,S4,Tab,30,Originator,1,,798.35,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,29/20.2.8/0442,817783016,Zelitrex 500,S4,Tab,10,Originator,1,,266.11,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,29/20.2.8/0442,817783008,Zelitrex 500,S4,Tab,42,Originator,1,,1117.67,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,28/7.3/0726,815640013,Imigran 50,S4,Tab,6,Originator,1,,452.97,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,28/7.3/0726,815640005,Imigran 50,S4,Tab,2,Originator,1,,150.99,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,28/13.9/0142,815616007,Wartec,S2,Sol,3,Originator,1,,309.85,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,28/5.7.1/0477,815535015,Zyrtec Oral Drops 10 Mg/Ml,S2,Drp,15,Originator,1,,215.11,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,z/20.1.1/148,814091016,Zinnat Suspension 125 Mg,S4,Sus,100,Originator,1,,149.18,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,z/20.1.1/148,814091008,Zinnat Suspension 125 Mg,S4,Sus,50,Originator,1,,74.59,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,29/2.5/0305,813907004,Lamictin P100,S3,Dsp,60,Originator,1,,348.49,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,29/2.5/0304,813893003,Lamictin P25,S3,Dsp,60,Originator,1,,146.12,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,29/2.5/0303,813885019,Lamictin P5,S3,Dsp,100,Originator,1,,144.33,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,z/11.4.3/303,811882020,Zantac Effervescent 150,S3,Eft,15,Originator,1,,188.35,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,x/20.2.6/377,806161019,Halfan,S4,Sus,30,Originator,1,,215.5,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,x/20.2.6/376,805580018,Halfan,S4,Tab,6,Originator,1,,145.06,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,z/2.5/282,805521003,Lamictin 100,S3,Tab,60,Originator,1,,348.49,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,z/2.5/281,805513019,Lamictin 50,S3,Tab,60,Originator,1,,222.56,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,z/2.5/280,805505008,Lamictin 25,S3,Tab,60,Originator,1,,146.12,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,27/17.1/0569,800449002,Mivacron 5,S4,Inj,5,Originator,5,,522.79,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,27/20.2.8/0113,794236006,Retrovir,S4,Syr,200,Originator,1,,110.7,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,w/7.1.4/103,793418011,Elantan 20,S3,Tab,500,Originator,1,,1170.57,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,w/7.1.4/103,793418003,Elantan 20,S3,Tab,60,Originator,1,,140.46,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,z/7.3/12,791857018,Imigran 100,S4,Tab,4,Originator,1,,427.99,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,w/7.1.4/360,791806006,Isoket 0.1% Solution,S3,Inf,10,Originator,10,,385.08,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,w/7.1/392,791776018,Nitrocine,S3,Inj,10,Originator,10,,418.67,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,z/11.4.3/304,791733017,Zantac Effervescent 300,S3,Eft,15,Originator,1,,366.04,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,y/1.2/419,791571009,Aropax 20,S5,Tab,28,Originator,1,,326.02,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,q/12/75,789720019,Zentel Suspension 20Mg/Ml,S4,Syr,20,Originator,1,,28.84,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,s/20.2.8/236,789313006,Zovirax Suspension,S4,Sus,125,Originator,1,,720.86,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,x/5.10/333,785830006,Zofran,S4,Tab,15,Originator,1,,1129.44,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,x/5.10/332,785814019,Zofran,S4,Tab,15,Originator,1,,715.59,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,v/20.2.8/111,784265003,Retrovir,S4,Cap,100,Originator,1,,282.96,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,v/20.1.1/364,781347009,Zinnat Tablets 500Mg,S4,Tab,10,Originator,1,,241.95,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,v/20.1.1/363,781339006,Zinnat Tablets 250Mg,S4,Tab,10,Originator,1,,132.45,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,v/20.1.1/362,781320003,Zinnat Tablets 125Mg,S4,Tab,10,Originator,1,,86.09,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,s/11.4.3/378,778974006,Zantac 300 Mg,S3,Tab,30,Originator,1,,645.09,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,p/11.4.3/218,778958027,Zantac Tablets,S3,Tab,60,Originator,1,,682.84,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,j/7.1.3/52,771627017,Trandate,S3,Tab,60,Originator,1,,417.14,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,r/17.1/0210,771597002,Tracrium 5Ml,S4,Inj,5,Originator,5,,735.95,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,h.2746,732524008,Imuran,S4,Inj,1,Originator,1,,750.65,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,42/26/0739,719444001,Hycamtin 0.25Mg,S4,Cap,10,Originator,1,,2022.93,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,42/26/0740,719443001,Hycamtin 1Mg,S4,Cap,10,Originator,1,,8091.8,2015-03-30
Pharmacare Limited,666.0,43/8.2/0023,719322001,"Arixtra 10,0Mg/0,8Ml",S4,Inj,1,Originator,10,,2185.54,2015-03-30
Pharmacare Limited,666.0,43/8.2/0022,719321001,"Arixtra 7,5Mg/0,6Ml",S4,Inj,1,Originator,10,,1639.16,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,43/8.2/0021,719320001,"Arixtra 5,0Mg/0,4Ml",S4,Inj,1,Originator,10,,1092.77,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,42/20.2.8/0942,719297001,Celsentri 300Mg,S4,Tab,60,Originator,1,,3759.47,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,43/11.3/0192,715024002,Alli,S2,Cap,84,Originator,1,,384.13,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,43/11.3/0192,715024001,Alli,S2,Cap,42,Originator,1,,192.07,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,a40/2.5/0587,714166001,Keppra 100 Mg,S3,Sol,300,Originator,1,,360.34,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,a38/20.2.8/0379,713582001,Telzir® Oral Suspension,S4,Sus,225,Originator,1,,608.36,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,30/12/0354,712381001,Zentel 400,S4,Tab,1,Originator,1,,28.88,2014-08-04
Glaxosmithkline South Africa (Pty) Ltd,1200.0,41/5.4.1/0606,711091001,Requip Xl 4Mg,S4,Tab,28,Originator,1,,341.78,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,41/5.4.1/0604,711090001,Requip Xl 2Mg,S4,Tab,28,Originator,1,,267.46,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,41/1.2/0372,711009001,Wellbutrin Xl 300,S5,Tab,30,Originator,1,,350.93,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,41/1.2/0371,711008001,Wellbutrin Xl 150,S5,Tab,30,Originator,1,,350.93,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,t/20.1.6/75,706493036,Bactroban Topical,S2,Oin,100,Originator,1,,450.17,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,t/20.1.6/75,706493001,Bactroban Topical,S2,Oin,15,Originator,1,,67.52,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,a39/1.2/0078,704794001,Paxil 20,S5,Tab,28,Originator,1,,194.06,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,36/2.5/0407,704533001,Lamictin P2,S3,Dsp,30,Originator,1,,38.96,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,h.513,703605003,Angised,S3,Tab,50,Originator,1,,45.72,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,35/11.4.3/0341,703241006,Zantac 75,S2,Eft,24,Originator,1,,99.32,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,35/11.4.3/0341,703241003,Zantac 75,S2,Eft,6,Originator,1,,24.84,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,579.0,y/1.2/420,703219001,Aropax,S5,Tab,30,Originator,1,,440.86,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,37/21.12/0282,703202001,Avodart,S4,Cap,30,Originator,1,,480.11,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,34/20.1.6/0274,702504003,Bactroban Cream,S2,Cre,15,Originator,1,,66.54,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/5.4.1/0305,700658003,Requip 5.0,S4,Tab,84,Originator,1,,1026.18,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/5.4.1/0304,700655003,Requip 2.0,S4,Tab,84,Originator,1,,641.88,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/5.4.1/0303,700652003,Requip 1.0,S4,Tab,84,Originator,1,,333.44,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/5.4.1/0302,700650002,Requip 0.5,S4,Tab,84,Originator,1,,252.32,2015-03-30
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/5.4.1/0301,700647004,Requip 0.25,S4,Tab,84,Originator,1,,135.11,2015-08-07
Glaxosmithkline South Africa (Pty) Ltd,1200.0,31/5.4.1/0301,700647003,Requip 0.25,S4,Tab,210,Originator,1,,337.76,2015-03-30
Genzyme Biopharmaceuticals SA (Pty) Ltd,1017.0,44/32.2/0546,715940001,Mozobil,S4,Inj,1,Originator,1,,84700.77,2015-04-09
Genzyme Biopharmaceuticals SA (Pty) Ltd,1017.0,36/26/0422,710159001,Fludara Oral,S4,Tab,20,Originator,1,,7244.15,2015-04-09
Genzyme Biopharmaceuticals SA (Pty) Ltd,1017.0,43/21.3/0869,708633002,Thyrogen,S4,Poi,1,Originator,2,,11969.99,2015-04-09
Genop Healthcare (Pty) Ltd,175.0,29/15.4/0097,817287019,Healon Endocoat,S4,Inj,1,Generic,1,,814.62,2015-03-30
Genop Healthcare (Pty) Ltd,175.0,29/15.4/0097,719203001,Healon Endocoat,S4,Inj,1,Generic,1,,1065.26,2015-03-30
Galderma Laboratories SA (Pty) Ltd,650.0,29/13.5/0353,874752019,Retacnyl,S3,Crm,30,Originator,1,,292.19,2015-04-13
Galderma Laboratories SA (Pty) Ltd,650.0,32/13.12/0476,863939007,Differin,S3,Crm,30,Originator,1,,223.32,2015-04-13
Galderma Laboratories SA (Pty) Ltd,650.0,29/13.12/0606,827215002,Differin Gel,S3,Jel,30,Originator,1,,223.32,2015-04-13
Galderma Laboratories SA (Pty) Ltd,650.0,29/13.4.2/0771,820210005,Rozex,S3,Jel,1,Originator,1,,195.04,2015-04-13
Galderma Laboratories SA (Pty) Ltd,650.0,a849 (act101/1965),770248012,Tetralysal,S4,Cap,28,Originator,1,,140.81,2015-04-13
Galderma Laboratories SA (Pty) Ltd,650.0,e/20.1.1/67,770159044,Tetralysal,S4,Cap,28,Originator,1,,255.3,2015-04-13
Galderma Laboratories SA (Pty) Ltd,650.0,a40/13.4.1/0035,710464001,Clobex Shampoo,S4,Sha,125,Originator,1,,304.95,2015-04-13
Galderma Laboratories SA (Pty) Ltd,650.0,a38/26/0528,705611001,Metvix Cream,S4,Crm,2,Originator,1,,3054.15,2015-04-13
Galderma Laboratories SA (Pty) Ltd,650.0,27/13.9.2/0163,703124001,Loceryl Nail Lac 5% Kit 2 5Ml,S2,Pai,1,Originator,1,,378.09,2015-04-13
Fresenius Kabi Sa (Pty) Ltd,185.0,h/20.1.2/26,893890008,Ampicillin Fresenius 500Mg,S4,Inj,1,Generic,100,,1192.6,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,185.0,h/20.1.2/26,893890001,Ampicillin Fresenius 500Mg,S4,Inj,1,Generic,10,,119.26,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,185.0,h/20.1.2/25,893889008,Ampicillin Fresenius 250Mg,S4,Inj,1,Generic,100,,700.19,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,185.0,h/20.1.2/25,893889005,Ampicillin Fresenius 250Mg,S4,Inj,1,Generic,10,,70.01,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,185.0,31/25.2/0087,869236008,Glamin,S3,Inf,1000,Originator,1,,935.75,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,771.0,c/25.2/228,815683008,Dextrose 5%-50Ml,S3,Inf,50,Originator,50,,868.9,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,771.0,n/20.1.2/39,791369021,Benzathine Penicillin Fresenius 2.4Mu Vial,S4,Inj,10,Originator,1,,76.33,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,771.0,n/20.1.2/39,791369013,Benzathine Penicillin Fresenius 2.4Mu Vial,S4,Inj,50,Originator,1,,381.59,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,771.0,n/20.1.2/38,791350010,Benzathine Pencillin Fresenius 1.2Muvial,S4,Inj,100,Originator,1,,443.88,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,771.0,g 2717(act 101),778486001,Water For Injection - Fresenius Glass 5Ml Ampoule,S1,Inj,10,Originator,1,,57.9,2015-04-29
Fresenius Kabi Sa (Pty) Ltd,771.0,g 2717(act 101),778427005,Water For Injection - Fresenius Glass 10Ml Ampoule,S1,Inj,10,Originator,1,,115.97,2015-04-29
