Database Of Medicine Prices,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No,Applicant Name,Product MCC Registration No,Nappi Code,ATC 4 ,Schedule,Product Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,12 Months Volume of Sales
985,Accord Healthcare (Pty) Ltd,41/26/1003,712643001,L01XX,S4,Irinotas,Irinotecan hydrochloride trihydrate,20,mg/ml,SOL,2,,331.20,36.80,51.52,419.52,209.76,31 August 2012,,,
985,Accord Healthcare (Pty) Ltd,44/26/0024,712873001,L01XX,S4,Irinotas 100,Irinotecan hydrochloride trihydrate,20,mg/ml,INJ,5,,828.00,92.00,128.80,"1,048.80",209.76,31 August 2012,,,
985,ACCORD HEALTHCARE (PTY)LTD,42/26/0089,715322001,L01BC,S4,Cytigem 200mg (10.0ml),Gemcitabine hydrochloride,200,mg/10ml,INJ,10,,286.02,31.78,44.49,362.29,36.23,16 July 2012,,,
985,Accord Healthcare (Pty) Ltd,42/3.2/1013,715854001,M05BA,S3,Accord Alendronate 10,Alendronic Acid,10,mg,TAB,28,,133.29,14.81,20.73,168.84,6.03,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/3.2/1014,715855001,M05BA,S3,Accord Alendronate 70,Alendronic Acid,70,mg,TAB,4,,147.08,16.34,22.88,186.30,46.58,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/7.1.3/0325,715856001,C09DA,S3,"Losaar Plus 50/12,5",Losartan Potassium ,50,mg,TAB,30,,58.37,6.49,9.08,73.94,2.46,11 May 2012,,,
,,,,,,,Hydrochlorothiazide,13,mg,,,,,,,,,,,,
,,,,,,, Hydrochlorothiazide,25,mg,,,,,,,,,,,,
985,ACCORD HEALTHCARE (PTY)LTD,42/26/0902,715323001,L01BC,S4,Cytigem 1g (50.0ml),Gemcitabine hydrochloride,1,g/50ml,INJ,50,,"1,430.10",158.90,222.46,"1,811.46",36.23,16 July 2012,,,
985,Accord Healthcare (Pty) Ltd,42/21.12/0259,715703001,L02BG,S4,Accord Anastrozole,Anastrozole,1,mg,TAB,30,,803.62,89.29,125.01,"1,017.92",33.93,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/26/0153,716228001,L01DB,S4,Accord Epirubicin 10,Epirubicin Hydrochloride,2,mg/ml,INJ,1,,103.93,11.55,16.17,131.65,26.33,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/26/0900,716239001,L01DB,S4,Accord Epirubicin 50,Epirubicin Hydrochloride,2,mg/ml,INJ,1,,519.70,57.74,80.84,658.29,131.66,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/26/0152,716240001,L01DB,S4, Epicord 10,Epirubicin Hydrochloride,2,mg/ml,INJ,1,,109.24,3.82,15.83,128.89,25.78,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/26/0897,716241001,L01DB,S4, Epicord 50,Epirubicin Hydrochloride,2,mg/ml,INJ,1,,546.23,19.12,79.15,644.50,128.90,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/21.12/0323,715704001,L02BG,S4,"Accord Letrozole 2,5 mg",Letrozole,3,mg,TAB,30,,925.89,102.88,144.03,"1,172.80",39.09,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/7.5/0372,715709001,C10AA,S4,Pixeta 10,Pravastatin Sodium,10,mg,TAB,30,,103.60,11.51,16.12,131.23,4.37,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/7.5/0373,715710001,C10AA,S4,Pixeta 20,Pravastatin Sodium,20,mg,TAB,30,,127.78,14.20,19.88,161.85,5.40,11 May 2012,,,
985,Accord Healthcare (Pty) Ltd,42/7.5/0358,715711001,C10AA,S4,Pixeta 40,Pravastatin Sodium,40,mg,TAB,30,,159.95,17.77,24.88,202.60,6.75,11 May 2012,,,
985,ACCORD HEALTHCARE (PTY)LTD,42/21.12/0430,715721001,L02BB,S4, Caloxa 50mg ,Bicalutamide,50,mg,TAB,30,,517.50,57.50,80.50,655.50,21.85,23 July 2012,,,
985,Accord Healthcare (Pty) Ltd,42/3.2/1015,715712001,M05BA,S4,Ostena 10,Alendronate Sodium ,10,mg,TAB,28,,130.53,14.50,20.30,165.34,5.91,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,42/2.6.5/0159,713964001,N05AX,S5,Rispacor 4 ,Risperidone,4,mg,TAB,30,,718.60,79.84,111.78,910.22,30.34,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,42/2.6.5/0158,713965001,N05AX,S5,Rispacor 3 ,Risperidone,3,mg,TAB,30,,542.23,60.25,84.35,686.83,22.89,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,42/2.6.5/0157,713966001,N05AX,S5,Rispacor 2 ,Risperidone,2,mg,TAB,30,,370.96,41.22,57.71,469.89,15.66,11 May 2012,,,
985,Accord-Healthcare (Pty) Ltd,41/7.1/0659,713971001,C08CA,S3,Amtas 5 ,Amlodipine Besilate,5,mg,TAB,30,,53.51,5.95,8.32,67.78,2.26,11 May 2012,,,
125,Abbott Laboratories SA Pty Ltd,42/21.3/0670,716571001,H03A0,S3,Synthroid 25 µg,Levothyroxine Sodium,25,µg,TAB,90,,37.89,2.27,5.62,45.78,0.51,04 May 2012,,,
125,Abbott Laboratories SA Pty Ltd,42/21.3/0671,716574001,H03A0,S3,Synthroid 50 µg,Levothyroxine Sodium,50,µg,TAB,90,,49.42,2.96,7.33,59.71,0.66,04 May 2012,,,
125,Abbott Laboratories SA Pty Ltd,42/21.3/0673,716575001,H03A0,S3,Synthroid 88 µg,Levothyroxine Sodium,88,µg,TAB,90,,62.60,3.76,9.29,75.64,0.84,04 May 2012,,,
125,Abbott Laboratories SA Pty Ltd,42/21.3/0674,716576001,H03A0,S3,Synthroid 100 µg,Levothyroxine Sodium,100,µg,TAB,90,,70.01,4.20,10.39,84.60,0.94,04 May 2012,,,
125,Abbott Laboratories SA Pty Ltd,42/21.3/0675,716577001,H03A0,S3,Synthroid 112 µg,Levothyroxine Sodium,112,µg,TAB,90,,75.22,4.51,11.16,90.89,1.01,04 May 2012,,,
125,Abbott Laboratories SA Pty Ltd,37/30.2/0252,716266001,L04AB,S4,Humira 40mg,Adalimumab,40,mg/0.8ml,PED,2,,"7,090.60",375.79,"1,045.29","8,511.68","5,319.80",30 April 2012,,,
125,Abbott Laboratories SA Pty Ltd,41/20.2.8/0217,710028001,J05AE,S4,Aluvia,Lopinavir,200,mg,TAB,120,,211.64,18.05,32.16,261.85,2.18,15 March 2012,,,
,,,,,,,Ritonavir,50,mg,,,,,,,,,,,,
125,Abbott Laboratories SA Pty Ltd,35/20.2.28/0255,700924019,J05AE,S4,Kaletra,Lopinavir,80,mg,SOL,300,,211.64,18.05,32.16,261.85,0.87,15 March 2012,,,
,,,,,,,Ritonavir,20,mg,,,,,,,,,,,,
125,Abbott Laboratories SA Pty Ltd,35/4/0193,700642006,N01BB,S4,Chirocane 10ml  ,Levobupivacaine,5,mg/ml,INJ,10,,432.51,20.89,63.48,516.88,51.69,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,35/4/0194,700644001,N01BB,S4,Chirocane 10ml  ,Levobupivacaine,8,mg/ml,INJ,10,,534.22,26.34,78.48,639.04,63.90,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,35/20.2.8/0254,700922003,J05AE,S4,Kaletra,Lopinavir,133,mg,CAP,180,,348.11,29.71,52.90,430.71,2.39,15 March 2012,,,
,,,,,,,Ritonavir,20,mg,,,,,,,,,,,,
125,Abbott Laboratories SA Pty Ltd,34/2.9/0239,702992002,N01AB,S5,Precedex,Dexmedetomidine hydrochloride,100,mcg/ml,INJ,5,,"2,791.50",147.94,411.52,"3,350.95",670.19,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,X/20.1.1/229,704032001,J01FA,S4,Clacee 250mg,Clarithromycin,250,mg,TAB,10,,53.61,9.47,8.83,71.91,7.19,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033001,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,10,,56.71,10.00,9.34,76.05,7.61,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033002,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,14,,79.40,14.01,13.08,106.48,7.61,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,37/30.2/0252,705335001,L04AB,S4,Humira,Adalimumab,40,mg,INJ,2,,"7,090.60",375.80,"1,045.29","8,511.69","4,255.85",15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0531,708279001,C09AA,S3,Mavik (was Gopten) ,Trandolapril,4,mg,CAP,30,,121.22,14.23,18.97,154.42,5.15,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,G/2.1/209,709643001,N01AB,S5,Forane 100ml,Isoflurane ,100,ml,INF,100,,493.16,27.67,72.91,593.75,5.94,15 March 2012,,,
,,,,,,,Ritonavir,50,mg,,,,,,,,,,,,
125,Abbott Laboratories SA Pty Ltd,33/11.3/0027,710256001,A08AA,S5,Ectiva 10mg,Sibutramine hydrochloride,10,mg,CAP,30,,153.00,27.00,25.20,205.20,6.84,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,33/11.3/0028,710257001,A08AA,S5,Ectiva 15mg,Sibutramine hydrochloride,15,mg,CAP,30,,178.50,31.50,29.40,239.40,7.98,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,34/3.3/0178,710392001,R05CA,S2,Mucolator,Acetylcysteine,200,mg,SAC,30,,33.80,5.16,5.46,44.42,1.48,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,R/3.1/71,710849109,M01AE,S3,Brufen ,Ibuprofen,600,mg,TAB,20,,33.51,5.68,5.49,44.68,2.23,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,R/3.1/71,710849125,M01AE,S3,Brufen ,Ibuprofen,600,mg,TAB,100,,167.57,26.44,27.16,221.17,2.21,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,Q/3.1/323,710857004,M01AE,S3,Brufen Paediatric,Ibuprofen,100,mg/5ml,SUS,100,,29.17,4.56,4.72,38.45,0.38,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0508,714624001,C09BB,S3,Tarka Bilayer,Verapamil HCl/Trandolapril,180,mg,TAB,30,,216.01,25.31,33.79,275.10,9.17,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0547,714625001,C09BB,S3,Tarka Bilayer,Verapamil HCl/Trandolapril,240,mg,TAB,30,,216.01,25.31,33.79,275.10,9.17,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,43/20.2.8/0356,715433001,J05AE,S4,Aluvia 100/25,Lopinavir/,100,mg,TAB,60,,52.92,4.51,8.04,65.47,1.09,15 March 2012,,,
,,,,,,,Ritonavir,25,mg,,,,,,,,,,,,
125,Abbott Laboratories SA Pty Ltd,H646 Act 101 of 1965,734071001,C08DA,S3,Isoptin  40mg  ,Verapamil,40,mg,TAB,100,,64.75,9.93,10.45,85.14,0.85,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,H647 Act 101 of 1965,734136005,C08DA,S3,Isoptin 2ml  ,Verapamil,5,mg,INJ,5,,115.76,9.62,17.55,142.93,28.59,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,V/7.1/280,734373007,C08DA,S3,Isoptin SR,Verapamil,240,mg,SRT,30,,125.10,21.34,20.50,166.94,5.56,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,V/7.1/280,734373015,C08DA,S3,Isoptin  SR ,Verapamil,240,mg,TAB,100,,435.92,52.27,68.34,556.53,5.57,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,J/27/334,742317005,M01CC,S4,Metalcaptase ,Penicillamine,300,mg,CAP,100,,"1,716.25",100.91,254.40,"2,071.56",20.72,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,B1041 Act 101 of 1965,752649019,N02AA,S6,Paracodin ,Dihydrocodeine,12,mg/5ml,SYR,100,,16.59,3.11,2.76,22.45,0.22,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,B1041 Act 101 of 1965,752649027,N02AA,S6,Paracodin ,Dihydrocodeine,12,mg/5ml,SYR,200,,33.17,5.35,5.39,43.91,0.22,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,F/1.2/161,757888003,N06AA,S5,Prothiaden,Dosulepin,25,mg,CAP,100,,163.61,24.65,26.36,214.62,2.15,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,R/6.2/149,784869014,C01BC,S4,Rythmol,Propafenone,150,mg,TAB,100,,486.17,44.18,74.24,604.59,6.05,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,R/6.2/150,784877017,C01BC,S4,Rythmol,Propafenone,300,mg,TAB,100,,919.49,91.60,141.55,"1,152.64",11.53,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,S/21.10/51,785504001,L02AE,S4,Lucrin  ,Leuprorelin,5,mg/ml,INJ,1,,669.08,43.18,99.72,811.98,811.98,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,RX/5.1/252,787736015,R03CA,S1,Ephedrine sulf 1ml ,Ephedrine,50,mg/ml,INJ,10,,244.87,12.17,35.99,293.04,29.30,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,Y/3.1/13,793671019,M01AE,S3,Brufe Retard,Ibuprofen,800,mg,TAB,60,,230.37,28.77,36.28,295.42,4.92,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,2/10.2.2/211,797928006,R07AA,S1,Survanta 8ml ,Beractant,25,mg/ml,INJ,1,,"5,799.75",256.28,847.85,"6,903.88","6,903.88",15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,H630 Act 101 of 1965,802638007,C01CA,S1,Phenylephrine HCL  ,Phenylephrine,10,mg/ml,INJ,10,,488.84,39.60,73.98,602.42,60.24,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,H630 Act 101 of 1965,802638008,C01CA,S1,Phenylephedrine,Phenylephrine HCL,10,mg/ml,INJ,5,,244.42,19.80,36.99,301.21,60.24,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,28/7.1.3/0261,805033017,C09AA,S3,Mavik (was Gopten) ,Trandolapril,1,mg,CAP,30,,110.77,12.36,17.24,140.38,4.68,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,28/7.1.3/0263,805068015,C09AA,S3,Mavik (was Gopten) ,Trandolapril,2,mg,CAP,30,,109.53,13.60,17.24,140.38,4.68,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,27/7.1/0519,806358009,G04CA,S4,Hytrin ,Terazosin,1,mg,TAB,10,,70.41,7.69,10.93,89.03,8.90,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,27/7.1/0520,806366028,G04CA,S4,Hytrin ,Terazosin,2,mg,TAB,28,,160.92,17.80,25.03,203.75,7.28,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,27/7.1/0521,806374004,G04CA,S4,Hytrin ,Terazosin,5,mg,TAB,28,,293.61,32.10,45.60,371.31,13.26,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,27/21.10/0370,806382007,L02AE,S4,Lucrin 3.75mg,Leuprorelin,4,mg,INJ,1,,"1,360.28",85.93,202.47,"1,648.68","1,648.68",15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,27/7.1/0522,810207001,G04CA,S4,Hytrin ,Terazosin,10,mg,TAB,28,,516.72,59.43,80.66,656.81,23.46,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,28/20.1.1/0264,813826004,J01FA,S4,Klacid i v,Clarithromycin,500,mg,INJ,1,,154.55,10.65,23.14,188.34,188.34,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,29/2.1/0748,820326003,N01AB,S5,Ultane penbottle,Sevoflurane,250,ml,SLN,250,,"1,602.14",102.13,238.60,"1,942.87",7.77,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,Q/20.1.1/248,828769001,D10AF,S4,Eryderm  Top Soln 60ml  ,Erythromycin,1200,mg/60ml,LOT,1,,85.45,10.65,13.45,109.55,109.55,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,28/20.1.1/0035,830046003,J01FA,S4,Klacid P125  ,Clarithromycin,125,mg/5ml,SUS,50,,80.99,7.70,12.42,101.11,2.02,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0190,830054006,J01FA,S4,Klacid P250  ,Clarithromycin,250,mg/5ml,SUS,50,,140.26,13.34,21.50,175.10,3.50,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,F/2.1/115,835773019,N01AB,S5,Ethrane 250ml,Enflurane,250,ml,SLN,1,,779.82,34.78,114.04,928.64,928.64,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,34/20.2.8/0175,836095014,J05AE,S4,Norvir,Ritonavir,100,mg,CAP,84,,57.38,4.81,8.70,70.90,0.85,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,31/7.1.3/0631,836680006,C09BB,S3,Tarka,Verapamil HCL,180,mg,SRC,30,,211.48,24.78,33.08,269.34,8.98,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,31/20.2.8/0217,838527035,J05AE,S4,Norvir,Ritonavir,80,mg/ml,SOL,90,,49.04,4.21,7.46,60.70,0.67,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,31/20.2.2/0379,841552002,J01FA,S4,Klacid XL ,Clarithromycin,500,mg,SRT,5,,116.08,10.47,17.72,144.26,28.85,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,31/20.2.2/0379,841552003,J01FA,S4,Klacid XL 10,Clarithromycin,500,mg,TAB,10,,239.07,14.03,35.43,288.53,28.85,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,33/11.3/0025,847844005,A08AA,S5,Reductil 10  ,Sibutramine,10,mg,CAP,30,,207.93,25.83,32.73,266.49,8.88,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,33/11.3/0026,853534004,A08AA,S5,Reductil 15  ,Sibutramine,15,mg,CAP,30,,245.24,33.84,39.07,318.16,10.61,15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,32/21.10/0317,875295002,L02AE,S4,Lucrin  11.25 mg,Leuprorelin,11,mg,INJ,1,,"3,397.33",219.44,506.35,"4,123.12","4,123.12",15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,34/30.2/0240,883856005,J06BB,S4,Synagis,Palivizumab,50,mg,INJ,1,,"5,358.24",214.33,780.16,"6,352.74","6,352.74",15 March 2012,,,
125,Abbott Laboratories SA Pty Ltd,34/30.2/0241,883864001,J06BB,S4,Synagis,Palivizumab,100,mg,INJ,1,,"8,667.41",346.70,"1,261.97","10,276.08","10,276.08",15 March 2012,,,
,,,,,,,Trandolapril,2,mg,,,,,,,,,,,,
125,Abbott Laboratories SA Pty Ltd,2/10.2.2/211,894184008,R07AA,S1,Survanta 4ml ,Beractant,25,mg/ml,INJ,1,,"2,899.33",128.69,423.92,"3,451.94","3,451.94",15 March 2012,,,
947,Adcock Ingram  Ltd,C0789(Act 101/1965),797650008,R06AB,S2,Chlorhist Syrup,Chlorpheniramine,2,mg/5ml,SYR,100,,6.52,0.88,1.04,8.44,0.08,20 April 2012,,,
665,Adcock Ingram Critical Care (Pty)Ltd,41/5.7.2/1079,712891001,A03FA,S4,Adco Granisetron 1 mg/1 ml      (1ml Amp),Granisetron ,1,mg/ml,INJ,5,,134.38,15.62,21.00,171.00,34.20,30 August 2011,,,
665,Adcock Ingram Critical Care,41.5.7.2/1080,712892001,A03FA,S4,Adco Granisetron 3 mg/3 ml        (3ml Amp),Granisetron ,1,mg/ml,INJ,5,,403.15,46.85,63.00,513.00,102.60,30 August 2011,,,
665,Adcock Ingram Critical Care (Pty) Ltd,30/20.1.2/0463,700609003,J01CA,S4,Adco Piperacillin 2g/20ml,Piperacillin,2,g/1000ml,POW,5,,140.59,16.34,21.97,178.90,1.79,14 March 2012,,,
665,Adcock Ingram Critical Care (Pty) Ltd,30/20.1.2/0463,700609004,J01CA,S4,SABAX PIPERACILLIN 2g/20ml,Piperacillin,2,g/1000ml,POW,1,,28.12,3.27,4.39,35.78,1.79,14 March 2012,,,
665,Adcock Ingram Critical Care (Pty) Ltd,30/20.1.2/0464,700611005,J01CA,S4,SABAX PIPERACILLIN 4g/50ml,Piperacillin,4,g/1000ml,POW,1,,253.80,29.49,39.66,322.96,6.46,14 March 2012,,,
665,Adcock Ingram Critical Care (Pty) Ltd,E875 (Act 101/1965),701386002,B05XA,S3,Sabax Plasmalyte B (1000ml),Magnesium chloride,0,g/1000ml,INF,1,,18.11,2.10,2.83,23.03,,18 June 2010,,,
,,,,,,,Potassium chloride,0,g/1000ml,,,,,,,,,,,,
,,,,,,,Sodium bicarbonate,2,g/1000ml,,,,,,,,,,,,
,,,,,,,Sodium chloride,6,g/1000ml,,,,,,,,,,,,
