Database Of Medicine Prices,,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No ,Applicant Name,Product MCC Registration No ,Nappi Code,ATC 4,Schedule,Product Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,,Originator or Generic,12 Months Volume of Sales
515,iThemba Labs,W/35/124,704156001,V09FX,S4,I-123 Sodium Iodide Capsule,I-123 Sodium Iodide,10,mCi,CAP,1,,2818,666,93,3577,3577,2009/12/05,,,,
515,iThemba Labs,S566,712875001,V09FX,S4,I-123 Sodium Iodide Injection,I-123 Sodium Iodide,3,mCi,INJ,1,,916,666,93,1675,1675,2009/12/05,,,,
515,iThemba Labs,S566,712877001,V09FX,S4,I-123 Sodium Iodide Injection,I-123 Sodium Iodide,5,mCi,INJ,1,,1459,666,93,2218,2218,2009/12/05,,,,
515,iThemba Labs,S566,712878001,V09FX,S4,I-123 Sodium Iodide Injection,I-123 Sodium Iodide,9,mCi,INJ,1,,2546,666,93,3305,3305,2009/12/05,,,,
515,iThemba Labs,S566,712879001,V09FX,S4,I-123 Sodium Iodide Injection,I-123 Sodium Iodide,10,mCi,INJ,1,,2818,666,93,3577,3577,2009/12/05,,,,
125,Abbott Laboratories SA Pty Ltd,41/20.2.8/08217,710028001,J05AE,S4,Aluvia,Lopinavir,200,mg,TAB,120,,329,28,50,407,3,,,,,
,,,,,,,Ritonavir,50,mg,,,,,,,,,,,,,
125,Abbott Laboratories SA Pty Ltd,B1039 Act 101 of 1965,701491019,N04AA,S4,Akineton  ,Biperiden,2,mg,TAB,50,,93,9,14,117,2,2009/06/17,,,,
125,Abbott Laboratories SA Pty Ltd,B1042 Act 101 of 1965,701491027,N04AA,S4,Akineton  ,Biperiden,2,mg,TAB,500,,932,90,143,1165,2,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,B1042 Act 101 of 1965,701505001,N04AA,S4,Akineton 1ml ,Biperiden,5,mg/ml,INJ,5,,132,21,22,175,35,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,,710849109,M01AE,S3,Brufen ,Ibuprofen,600,mg,TAB,20,,34,6,5,45,2,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,,710849125,M01AE,S3,Brufen ,Ibuprofen,600,mg,TAB,100,,168,26,27,221,2,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,Q/3.1/323,710857004,M01AE,S3,Brufen Paediatric,Ibuprofen,100,mg/5ml,SUS,100,,27,4,4,35,0,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,35/4/0193,700642006,N01BB,S4,Chirocane 10ml  ,Levobupivacaine,5,mg/ml,INJ,10,,407,20,60,487,49,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,35/4/0194,700644001,N01BB,S4,Chirocane 10ml  ,Levobupivacaine,8,mg/ml,INJ,10,,503,25,74,602,60,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,RX/5.1/252,787736015,R03CA,S1,Ephedrine sulf 1ml ,Ephedrine,50,mg/ml,INJ,10,,224,11,33,268,27,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,Q/20.1.1/248,828769001,D10AF,S4,Eryderm  Top Soln 60ml  ,Erythromycin,1200,mg/60ml,LOT,1,,85,11,13,110,110,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,A568 Act 101 of 1965,724181008,J01FA,S4,Erythrocin i v  ,Erythromycin,1000,mg,INJ,1,,150,10,22,183,183,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,F/2.1/115,835773019,N01AB,S5,Ethrane 250ml,Enflurane,250,ml,SLN,1,,714,32,104,850,850,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,G/2.1/209,727075004,N01AB,S5,Forane 100ml ,Isoflurane,100,ml,INF,100,,464,26,69,559,6,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,37/30.2/0252,705335001,L04AB,S4,Humira ,Adalimumab,40,mg,INJ,2,,8027,425,1183,9635,4818,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,27/7.1/0519,806358009,G04CA,S4,Hytrin ,Terazosin,1,mg,TAB,10,,66,7,10,84,8,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,27/7.1/0520,806366028,G04CA,S4,Hytrin ,Terazosin,2,mg,TAB,28,,151,17,24,192,7,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,27/7.1/0521,806374004,G04CA,S4,Hytrin ,Terazosin,5,mg,TAB,28,,276,30,43,350,12,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,27/7.1/0522,810207001,G04CA,S4,Hytrin ,Terazosin,10,mg,TAB,28,,486,56,76,618,22,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,H646 Act 101 of 1965,734071001,C08DA,S3,Isoptin  40mg  ,Verapamil,40,mg,TAB,100,,59,9,10,78,1,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,V/7.1/280,734373015,C08DA,S3,Isoptin  SR ,Verapamil,240,mg,TAB,100,,397,48,62,507,5,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,H647 Act 101 of 1965,734136005,C08DA,S3,Isoptin 2ml  ,Verapamil,5,mg,INJ,5,,108,9,16,133,27,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,V/7.1/280,734373007,C08DA,S3,Isoptin SR,Verapamil,240,mg,SRT,30,,114,19,19,152,5,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,35/20.2.8/0254,700922003,J05AE,S4,Kaletra,Lopinavir,133,mg,CAP,180,,317,27,48,393,2,2009/11/06,,,,
125,Abbott Laboratories SA Pty Ltd,35/20.2.28/0255,700924019,J05AE,S4,Kaletra,Lopinavir,80,mg/ml,SYR,300,,331,26,50,407,1,2009/03/25,,,,
125,Abbott Laboratories SA Pty Ltd,28/20.1.1/0264,813826004,J01FA,S4,Klacid i v,Clarithromycin,500,mg,INJ,1,,141,10,21,172,172,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,28/20.1.1/0035,830046003,J01FA,S4,Klacid P125  ,Clarithromycin,125,mg/5ml,SUS,50,,74,7,11,92,2,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0190,830054006,J01FA,S4,Klacid P250  ,Clarithromycin,250,mg/5ml,SUS,50,,128,12,20,160,3,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,31/20.2.2/0379,841552002,J01FA,S4,Klacid XL ,Clarithromycin,500,mg,SRT,5,,106,10,16,132,26,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,31/20.2.2/0379,841552003,J01FA,S4,Klacid XL 10,Clarithromycin,500,mg,TAB,10,,218,13,32,263,26,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,L/7.1.5/30,738948004,C04AX,S3,Loftyl ,Buflomedil,150,mg,TAB,120,,536,59,83,679,6,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,S/21.10/51,785504001,L02AE,S4,Lucrin  ,Leuprorelin,5,mg/ml,INJ,1,,612,40,91,743,743,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,32/21.10/0317,875295002,L02AE,S4,Lucrin  11.25 mg,Leuprorelin,11,mg,INJ,1,,3109,201,463,3773,3773,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,27/21.10/0370,806382007,L02AE,S4,Lucrin 3.75mg,Leuprorelin,4,mg,INJ,1,,1245,79,185,1509,1509,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,28/7.1.3/0261,805033017,C09AA,S3,Mavik (was Gopten) ,Trandolapril,1,mg,CAP,30,,101,11,16,128,4,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,28/7.1.3/0263,805068015,C09AA,S3,Mavik (was Gopten) ,Trandolapril,2,mg,CAP,30,,100,12,16,128,4,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,A39/7.1.3/0531,708279001,C09AA,S3,Mavik (was Gopten) ,Trandolapril,4,mg,CAP,30,,119,14,19,151,5,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,J/27/334,742317005,M01CC,S4,Metalcaptase ,Penicillamine,300,mg,CAP,100,,1716,101,254,2072,21,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,34/20.2.28/0175,836095014,J05AE,S4,Norvir ,Ritonavir,100,mg,CAP,84,,74,6,11,92,1,2009/11/06,,,,
125,Abbott Laboratories SA Pty Ltd,31/20.2.8/0217,838527035,J05AE,S4,Norvir ,Ritonavir,80,mg/ml,SYR,90,,64,5,10,79,1,2009/11/06,,,,
125,Abbott Laboratories SA Pty Ltd,B1041 Act 101 of 1965,752649019,N02AA,S6,Paracodin ,Dihydrocodeine,12,mg/5ml,SYR,100,,28,5,5,37,0,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,B1041 Act 101 of 1965,752649027,N02AA,S6,Paracodin ,Dihydrocodeine,12,mg/5ml,SYR,200,,55,9,9,73,0,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,H630 Act 101 of 1965,802638007,C01CA,S1,Phenylephrine HCL  ,Phenylephrine,10,mg/ml,INJ,10,,446,36,67,549,55,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,F/1.2/161,757888003,N06AA,S5,Prothiaden,Dosulepin,25,mg,CAP,100,,152,23,25,200,2,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,33/11.3/0025,847844005,A08AA,S5,Reductil 10  ,Sibutramine,10,mg,CAP,30,,429,53,68,550,18,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,33/11.3/0026,853534004,A08AA,S5,Reductil 15  ,Sibutramine,15,mg,CAP,30,,514,71,82,667,22,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,R/6.2/149,784869014,C01BC,S4,Rythmol,Propafenone,150,mg,TAB,100,,443,40,68,551,6,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,R/6.2/150,784877017,C01BC,S4,Rythmol,Propafenone,300,mg,TAB,100,,838,84,129,1051,11,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,2/10.2.2/211,894184008,R07AA,S1,Survanta 4ml ,Beractant,25,mg/ml,INJ,1,,2653,118,388,3159,790,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,2/10.2.2/211,797928006,R07AA,S1,Survanta 8ml ,Beractant,25,mg/ml,INJ,1,,5307,235,776,6317,790,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,34/30.2/0240,883856005,J06BB,S4,Synagis,Palivizumab,50,mg,INJ,1,,5044,202,734,5980,5980,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,34/30.2/0241,883864001,J06BB,S4,Synagis,Palivizumab,100,mg,INJ,1,,8159,326,1188,9674,9674,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,31/7.1.3/0631,836680006,C09BB,S3,Tarka  ,Verapamil HCL ,180,mg,SRC,30,,197,23,31,251,1,2009/06/29,,,,
,,,,,,,Trandolapril,2,mg,,,,,,,,,,,,,
125,Abbott Laboratories SA Pty Ltd,X/20.1.1/229,704032001,J01FA,S4,Clacee 250mg,Clarithromycin,250,mg,TAB,10,,49,9,8,66,7,2009/06/17,,,,
125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033001,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,10,,52,9,9,69,7,2009/06/17,,,,
125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0163,704033002,J01FA,S4,Clacee 500mg,Clarithromycin,500,mg,TAB,14,,72,13,12,97,7,2009/06/17,,,,
125,Abbott Laboratories SA Pty Ltd,33/11.3/0027,710256001,A08AA,S5,Ectiva 10mg,Sibutramine hydrochloride,10,mg,CAP,30,,305,54,50,410,14,2009/07/01,,,,
125,Abbott Laboratories SA Pty Ltd,33/11.3/0028,710257001,A08AA,S5,Ectiva 15mg,Sibutramine hydrochloride,15,mg,CAP,30,,348,61,57,466,16,2009/07/01,,,,
125,Abbott Laboratories SA Pty Ltd,Y/3.1/13,793671019,M01AE,S3,Brufe Retard,Ibuprofen,800,mg,TAB,60,,210,26,33,269,4,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,34/3.3/0178,710392001,R05CA,S2,Mucolator,Acetylcysteine,200,mg,Sachets,30,,47,7,8,61,2,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,34/2.9/0239,,N01AB,S5,Precedex,Dexmedetomidine hydrochloride,100,mcg/ml,INJ,,,2628,139,387,3155,631,2009/02/08,,,,
125,Abbott Laboratories SA Pty Ltd,29/2.1/0748,820326003,N01AB,S5,Ultane penbottle,Sevoflurane,250,ml,SLN,250,,1602,102,239,1943,8,2009/04/11,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,35/20.1.1/0043,703474002,J01DD,S4,Adco Ceftriaxone 1g,Ceftriaxone,1,g,POW,10,,30,4,5,39,4,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,37/20.1.1/0044,703466006,J01DD,S4,Adco Ceftriaxone 2g,Ceftriaxone,2,g,POW,10,,51,6,8,64,6,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,37/20.1.1/0042,703463003,J01DD,S4,Adco Ceftriaxone 500mg,Ceftriaxone,500,mg,POW,10,,28,3,4,36,4,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,36/20.1.1/0322,708508001,J01DD,S4,Adco Cefotaxime 500mg,Cefotaxime sodium,500,mg,POW,1,,14,2,2,18,18,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,36/20.1.1/0324,708509001,J01DD,S4,Adco Cefotaxime 1g,Cefotaxime sodium,1,g,POW,1,,23,3,4,30,30,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,A39/6.2/0321,711776001,C08CA,S4,Adcorone 150mg/3ml,Amiodarone Hydrochloride 150mg/3ml,50,mg/ml,INJ,3,,358,42,56,456,152,2009/06/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,S/34/106,857912003,B05XA,S1,Dianeal 2.5 (2000ml In 3000ml),Calcium chloride,257,g/1000ml,SOL,1,,48,6,8,61,0,2009/05/30,,,,
,,,,,,,Glucose,25,g/1000ml,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,51,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium chloride,5,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium lactate,4,g/1000ml,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,S/34/106,818291001,B05XA,S1,Dianeal 2.5 (2500ml In 3000ml),Calcium chloride,257,g/1000ml,SOL,1,,49,6,8,62,0,2009/05/30,,,,
,,,,,,,Glucose,25,g/1000ml,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,51,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium chloride,5,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium lactate,4,g/1000ml,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,S/34/106,857904019,B05XA,S1,Dianeal 2.5 (500 Ml In 1000ml),Calcium chloride,257,g/1000ml,SOL,1,,63,7,10,81,0,2009/05/30,,,,
,,,,,,,Glucose,25,g/1000ml,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,51,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium chloride,5,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium lactate,4,g/1000ml,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,L631 (Act 101 / 1965),801542006,B05XA,S1,Diasol Formula 16  5 Litre,Calcium chloride,8232,g/1000ml,SOL,1,,59,7,9,75,0,2009/05/30,,,,
,,,,,,,Magnesium chloride,2135,g/1000ml,,,,,,,,,,,,,
,,,,,,,Potassium chloride,4,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium acetate,167,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium chloride,215,g/1000ml,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,38/34/0172,707038001,B05XA,S1,Extraneal 2L,Calcium chloride,0,g,SOL,1,,188,22,29,239,0,2009/05/30,,,,
,,,,,,,Icodextrin,75,g,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,0,g,,,,,,,,,,,,,
,,,,,,,Sodium chloride,5,g,,,,,,,,,,,,,
,,,,,,,Sodium lactate,5,g,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,T/30.3/598,852899009,B02BD,S4,Feiba Tim 4 Immuno 1000 U,"Coagulation factor IX, II, VII and X in combination",1,u/mgprotein,POW,1,,16486,1916,2576,20979,20979,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,T/30.3/597,852902018,B02BD,S4,Feiba Tim 4 Immuno 500 U,"Coagulation factor IX, II, VII and X in combination",1,u/mgprotein,POW,1,,8243,958,1288,10489,10489,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,D/8.2.262,801240018,B05CB,S1,Fenwal Acd Formula 500 Ml,Citric acid,730,mg/1000ml,SOL,1,,47,6,7,60,0,2009/05/30,,,,
,,,,,,,Glucose,2,mg/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium citrate,2,mg/1000ml,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,41/18/0300,711080001,B05BB,S4,Fosrenol,Lanthanum Carbonate Hydrate,500,mg,TAB,90,,1558,204,247,2009,22,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,41/18/0301,711081001,B05BB,S4,Fosrenol,Lanthanum Carbonate Hydrate,750,mg,TAB,90,,2077,273,329,2679,30,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,,705038001,B05BB04,S1,Hemofil-M Factor VIII,Coagulation factor VIII,1,ZZZ,INJ,448,,11,1,2,13,0,2009/05/30,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,A39/34/0169,705935001,B05BB05,S1,High Potasium Acid 5000ml,Acetic acid,6,g,SOL,1,,53,6,8,67,0,2009/05/30,,,,
,,,,,,,Calcium chloride,8,g,,,,,,,,,,,,,
,,,,,,,Glucose,154,g,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,5,g,,,,,,,,,,,,,
,,,,,,,Potassium chloride,9,g,,,,,,,,,,,,,
,,,,,,,Sodium chloride,198,g,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,A39/34/0400,705928001,B05XA,S1,Low Calcium Diasol 1000ml,Acetic acid,6,g,SOL,1,,48,6,8,61,0,2009/05/30,,,,
,,,,,,,Calcium chloride,6,g,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,2135,g,,,,,,,,,,,,,
,,,,,,,Potassium chloride,4,g,,,,,,,,,,,,,
,,,,,,,Sodium chloride,215,g,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,A39/34/0162,705927001,B05XA,S1,Low Glucose Diasol 5000ml,Acetic acid,6,g,SOL,1,,54,6,8,69,0,2009/05/30,,,,
,,,,,,,Calcium chloride,8,g,,,,,,,,,,,,,
,,,,,,,Glucose,39,g,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,2135,g,,,,,,,,,,,,,
,,,,,,,Potassium chloride,4,g,,,,,,,,,,,,,
,,,,,,,Sodium chloride,215,g,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,,705924001,B05XA,S1,Low Magnesium Diasol 1000ml,Acetic acid,6,g,SOL,2,,43,5,7,54,0,2009/05/30,,,,
,,,,,,,Calcium chloride,8,g,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,2135,g,,,,,,,,,,,,,
,,,,,,,Potassium chloride,4,g,,,,,,,,,,,,,
,,,,,,,Sodium chloride,215,g,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,37/25.2/0501,707040001,B05XA,S3,N4-550e Oliclinomel 2.5l (4 X 2 500 Ml),Alanine,5,g/1000ml,INF,4,,1260,146,197,1603,0,2009/05/30,,,,
,,,,,,,Arginine hydrochloride,3,g/1000ml,,,,,,,,,,,,,
,,,,,,,Calcium chloride,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Glucose,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Glycine,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Histidine,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Isoleucine,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Leucine,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Lysine,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,0,g/1000ml,,,,,,,,,,,,,
,,,,,,,Methionine,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Phenylalanine,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Potassium chloride,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Proline,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Serine,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium acetate,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium glycerophosphate,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Threonine,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Tryptophan,0,g/1000ml,,,,,,,,,,,,,
,,,,,,,Tyrosine,0,g/1000ml,,,,,,,,,,,,,
,,,,,,,Valine,1,g/1000ml,,,,,,,,,,,,,
665,Adcock Ingram Critical Care (Pty) Ltd,37/25.2/0503,707125001,B05XA,S3,N6-900e Oliclinomel 2l (4 X 2 000 Ml),Alanine,7,g/1000ml,INF,4,,1145,133,179,1457,0,2009/05/30,,,,
,,,,,,,Arginine hydrochloride,4,g/1000ml,,,,,,,,,,,,,
,,,,,,,Calcium chloride,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Glucose,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Glycine,4,g/1000ml,,,,,,,,,,,,,
,,,,,,,Histidine,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Isoleucine,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Leucine,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Lysine,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Magnesium chloride,0,g/1000ml,,,,,,,,,,,,,
,,,,,,,Methionine,1,g/1000ml,,,,,,,,,,,,,
,,,,,,,Phenylalanine,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Potassium chloride,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Proline,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Refined olive oil,40,g/1000ml,,,,,,,,,,,,,
,,,,,,,Refined soya oil,40,g/1000ml,,,,,,,,,,,,,
,,,,,,,Serine,2,g/1000ml,,,,,,,,,,,,,
,,,,,,,Sodium acetate,2,g/1000ml,,,,,,,,,,,,,
