Database Of Medicine Prices,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No,Applicant Name,MCC Medicine Reg. No.,Nappi Code,ATC 4 ,Medicine Schedule,Medicine Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,12 Months Volume of Sales
0000000125,Abbott Laboratories SA Pty Ltd,Q/11.2/165,715476017,A03AA,S2,Colofac 135mg,Mebeverine,135,mg,TAB,100,1,217.06,23.02,33.61,273.70,2.74,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,42/21.3/0670,716571001,H03A0,S3,Synthroid 25 µg,Levothyroxine Sodium,25,µg,TAB,90,1,40.10,2.41,5.95,48.45,0.54,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,42/21.3/0671,716574001,H03A0,S3,Synthroid 50 µg,Levothyroxine Sodium,50,µg,TAB,90,1,52.29,3.14,7.76,63.19,0.70,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,42/21.3/0673,716575001,H03A0,S3,Synthroid 88 µg,Levothyroxine Sodium,88,µg,TAB,90,1,66.24,3.97,9.83,80.05,0.89,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,42/21.3/0674,716576001,H03A0,S3,Synthroid 100 µg,Levothyroxine Sodium,100,µg,TAB,90,1,74.08,4.45,10.99,89.52,0.99,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,42/21.3/0675,716577001,H03A0,S3,Synthroid 112 µg,Levothyroxine Sodium,112,µg,TAB,90,1,79.60,4.78,11.81,96.19,1.07,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,T/30.1/581,732826004,J07BB,S2,Influvac subunit 2014,Inactivated Influenza Vaccine,1,mg,INJ,1,1,41.93,7.40,6.91,56.23,112.46,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,H646 Act 101 of 1965,734071001,C08DA,S3,Isoptin  40mg  ,Verapamil,40,mg,TAB,100,1,72.50,11.11,11.70,95.32,0.95,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,H647 Act 101 of 1965,734136005,C08DA,S3,Isoptin 2ml  ,Verapamil,5,mg,INJ,5,1,115.76,9.62,17.55,142.93,28.59,31 March 2015,,originator,
0000000125,Abbott Laboratories SA Pty Ltd,V/7.1/280,734373007,C08DA,S3,Isoptin SR,Verapamil,240,mg,SRT,30,1,140.06,23.89,22.95,186.90,6.23,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,V/7.1/280,734373015,C08DA,S3,Isoptin  SR ,Verapamil,240,mg,TAB,100,1,488.04,58.52,76.51,623.08,6.23,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,J/27/334,742317005,M01CC,S4,Metalcaptase ,Penicillamine,300,mg,CAP,100,1,"1,716.25",100.91,254.40,"2,071.56",20.72,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,C/11.10/59,752479016,A09AA,S1,Pankreoflat  ,Dimethicone,80,mg,TAB,100,1,252.31,26.83,39.08,318.22,3.18,03 November 2015,,Originator,
,Abbott Laboratories SA Pty Ltd,,752479016,,,,Pancreatin,170,mg,,,,,,,,,,,,
0000000125,Abbott Laboratories SA Pty Ltd,C/11.10/59,752479024,A09AA,S1,Pankreoflat  ,Dimethicone,80,mg,TAB,25,1,60.34,9.43,9.77,79.54,3.18,03 November 2015,,Originator,
,Abbott Laboratories SA Pty Ltd,,752479024,,,,Pancreatin,170,mg,,,,,,,,,,,,
0000000125,Abbott Laboratories SA Pty Ltd,B1041 Act 101 of 1965,752649019,N02AA,S6,Paracodin ,Dihydrocodeine,12,mg/5ml,SYR,100,1,16.59,3.11,2.76,22.46,0.22,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,B1041 Act 101 of 1965,752649027,N02AA,S6,Paracodin ,Dihydrocodeine,12,mg/5ml,SYR,200,1,33.17,5.35,5.39,43.91,0.22,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,F/1.2/161,757888003,N06AA,S5,Prothiaden,Dosulepin,25,mg,CAP,100,1,173.14,26.08,27.89,227.11,2.27,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,R/6.2/149,784869014,C01BC,S4,Rythmol,Propafenone,150,mg,TAB,100,1,553.05,50.25,84.46,687.77,6.88,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,R/6.2/150,784877017,C01BC,S4,Rythmol,Propafenone,300,mg,TAB,100,1,"1,106.65",110.24,170.36,"1,387.26",13.87,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,Y/3.1/13,793671019,M01AE,S3,Brufe Retard,Ibuprofen,800,mg,TAB,60,1,277.26,34.63,43.66,355.55,5.93,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,S/21.8.2/165,795682018,G03DB,S4,Duphaston 10Mg  ,Dydrogesterone,10,mg,TAB,30,1,180.64,19.77,28.06,228.47,7.62,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,H630 Act 101 of 1965,802638007,C01CA,S1,Phenylephrine HCL  ,Phenylephrine,10,mg/ml,INJ,10,1,588.34,47.66,89.04,725.04,72.50,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,H630 Act 101 of 1965,802638008,C01CA,S1,Phenylephedrine,Phenylephrine HCL,10,mg/ml,INJ,5,1,294.17,23.83,44.52,362.52,72.50,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,28/7.1.3/0261,805033017,C09AA,S3,Mavik (was Gopten) ,Trandolapril,1,mg,CAP,30,1,124.02,13.84,19.31,157.17,5.24,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,28/7.1.3/0263,805068015,C09AA,S3,Mavik (was Gopten) ,Trandolapril,2,mg,CAP,30,1,122.63,15.23,19.31,157.17,5.24,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,X/1.2/60,805203028,N06AB,S5,Luvox  100,Fluvoxamine,100,mg,TAB,30,1,308.91,32.01,47.73,388.65,12.96,03 November 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,27/7.1/0519,806358009,G04CA,S4,Hytrin ,Terazosin,1,mg,TAB,10,1,78.83,8.61,12.24,99.67,9.97,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,27/7.1/0520,806366028,G04CA,S4,Hytrin ,Terazosin,2,mg,TAB,28,1,180.16,19.93,28.02,228.12,8.15,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,27/7.1/0521,806374004,G04CA,S4,Hytrin ,Terazosin,5,mg,TAB,28,1,328.72,35.94,51.06,415.71,14.85,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,27/7.1/0522,810207001,G04CA,S4,Hytrin ,Terazosin,10,mg,TAB,28,1,578.51,66.54,90.30,735.35,26.26,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,28/20.1.1/0264,813826004,J01FA,S4,Klacid i v,Clarithromycin,500,mg,INJ,10,1,186.01,12.82,27.84,226.67,22.67,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,28/11.1/0645,822434008,A09AA,S1,Creon 25000,Pancreatin,300,mg,CAP,100,1,"1,292.46",80.02,192.15,"1,564.62",15.65,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,Q/20.1.1/248,828769001,D10AF,S4,Eryderm  Top Soln 60ml  ,Erythromycin,1200,mg/60ml,LOT,60,1,85.45,10.65,13.45,109.55,1.83,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,28/20.1.1/0035,830046003,J01FA,S4,Klacid P125  ,Clarithromycin,125,mg/5ml,SUS,50,1,97.48,9.27,14.94,121.69,2.43,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,29/20.1.1/0190,830054006,J01FA,S4,Klacid P250  ,Clarithromycin,250,mg/5ml,SUS,50,1,168.81,16.05,25.88,210.74,4.21,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,31/7.1.3/0631,836680006,C09BB,S3,Tarka,Verapamil HCL,180,mg,SRC,30,1,236.77,27.74,37.04,301.55,10.05,31 March 2015,,Generic,
0000000125,Abbott Laboratories SA Pty Ltd,31/20.2.2/0379,841552002,J01FA,S4,Klacid XL ,Clarithromycin,500,mg,SRT,5,1,129.96,11.72,19.83,161.51,32.30,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,31/20.2.2/0379,841552003,J01FA,S4,Klacid XL 10,Clarithromycin,500,mg,TAB,10,1,267.65,15.71,39.67,323.03,32.30,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,33/11.3/0025,847844005,A08AA,S5,Reductil 10  ,Sibutramine,10,mg,CAP,30,1,207.93,25.83,32.73,266.49,8.88,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,32/7.1.3/0139,851892019,C02AC,S3,"Physiotens 0,2",Moxonidine,0,mg,TAB,28,1,199.17,20.42,30.74,250.34,8.94,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,32/7.1.3/0140,851906001,C02AC,S3,"Physiotens 0,3",Moxonidine,0,mg,TAB,28,1,199.61,19.98,30.74,250.34,8.94,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,32/7.1.3/0141,851914004,C02AC,S3,"Physiotens 0,4",Moxonidine,0,mg,TAB,28,1,199.15,20.44,30.74,250.34,8.94,03 November 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,33/11.3/0026,853534004,A08AA,S5,Reductil 15  ,Sibutramine,15,mg,CAP,30,1,245.24,33.84,39.07,318.16,10.61,31 March 2015,,Originator,
0000000125,Abbott Laboratories SA Pty Ltd,33/11.1/0340,887162002,A09AA,S1,Creon 10000,Pancreatin,150,mg,CAP,100,1,537.82,33.30,79.96,651.07,6.51,03 November 2015,,Originator,
0000001151,Abbvie (Pty) Ltd,44/20.2.8/0128,721595001,J05AE,S4,Norvir 100mg Tablets,Ritonavir,100,mg,TAB,60,1,48.68,1.51,7.03,57.22,0.95,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,35/4/0193,700642006,N01BB,S4,Chirocane 5 mg,Levobupivacaine,5,mg/ml,INJ,10,10,545.53,26.35,80.07,651.95,6.52,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,35/4/0194,700644001,N01BB,S4,Chirocane 7.5 mg,Levobupivacaine,8,mg/ml,INJ,10,10,673.82,33.23,98.99,806.03,8.06,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,35/20.2.8/0254,700922003,J05AE,S4,Kaletra Solution,Lopinavir,133,mg,CAP,180,1,348.11,29.71,52.90,430.71,2.39,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,,700922003,,,,Ritonavir,20,mg,,,,,,,,,,,,
0000001151,AbbVie (Pty) Ltd ,35/20.2.28/0255,700924019,J05AE,S4,Kaletra Solution,Lopinavir,80,mg,SOL,60,5,238.43,20.34,36.23,295.00,0.98,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,,700924019,,,,Ritonavir,20,mg,,,,,,,,,,,,
0000001151,AbbVie (Pty) Ltd ,34/2.9/0239,702992002,N01AB,S5,Precedex,Dexmedetomidine hydrochloride,100,mcg/ml,INJ,2,5,"3,148.48",166.86,464.15,"3,779.48",377.95,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,37/30.2/0252,705335001,L04AB,S4,Humira 40 mg,Adalimumab,40,mg,INJ,1,2,"7,558.93",400.62,"1,114.33","9,073.89","5,671.18",29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,G/2.1/209,709643001,N01AB,S5,Forane,Isoflurane ,250,ml,INF,100,1,622.03,34.90,91.97,748.90,7.49,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,41/20.2.8/0217,710028001,J05AE,S4,Aluvia,Lopinavir,200,mg,TAB,120,1,211.64,18.05,32.16,261.85,2.18,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,,710028001,,,,Ritonavir,50,mg,,,,,,,,,,,,
0000001151,AbbVie (Pty) Ltd ,41/20.2.8/0217,710028002,J05AE,S4,Aluvia,Lopinavir,200,mg,TAB,112,1,222.54,18.98,33.81,275.33,2.46,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,,710028002,,,,Ritonavir,50,mg,,,,,,,,,,,,
0000001151,AbbVie (Pty) Ltd ,43/20.2.8/0356,715433001,J05AE,S4,Aluvia 100/25,Lopinavir/,100,mg,TAB,60,1,52.92,4.51,8.04,65.47,1.09,29 January 2016,,Originator,
0000000125,AbbVie (Pty) Ltd ,,715433001,,,,Ritonavir,25,mg,,,,,,,,,,,,
0000001151,AbbVie (Pty) Ltd ,43/20.2.8/0356,715433002,J05AE,S4,Aluvia 100/25,Lopinavir,100,mg,TAB,56,1,55.65,4.74,8.45,68.85,1.23,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,,715433002,,,,Ritonavir,25,mg,,,,,,,,,,,,
0000001151,AbbVie (Pty) Ltd ,37/30.2/0252,716266001,L04AB,S4,Humira 40 mg,Adalimumab,40,mg/0.8ml,PED,1,2,"7,558.93",400.61,"1,114.33","9,073.88","5,671.17",29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,S/21.10/51,785504001,L02AE,S4,Lucrin  ,Leuprorelin,5,mg/ml,INJ,3,1,832.15,53.70,124.02,"1,009.87",360.67,29 January 2016,,Generic,
0000001151,AbbVie (Pty) Ltd ,RX/5.1/252,787736015,R03CA,S1,Ephedrine Sulfate Injection 50 mg/ml,Ephedrine Sulfate,50,mg/ml,INJ,1,10,308.86,15.36,45.39,369.61,36.96,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,2/10.2.2/211,797928006,R07AA,S1,Survanta 8,Beractant,25,mg/ml,INJ,8,1,"6,493.26",286.93,949.23,"7,729.42",966.18,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,27/21.10/0370,806382007,L02AE,S4,Lucrin 3.75,Leuprorelin,4,mg,INJ,2,1,"1,691.79",106.88,251.82,"2,050.49","1,025.24",29 January 2016,,Generic,
0000001151,AbbVie (Pty) Ltd ,29/2.1/0748,820326003,N01AB,S5,Ultane,Sevoflurane,100,ml,SLN,250,1,"1,602.14",102.13,238.60,"1,942.87",7.77,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,F/2.1/115,835773019,N01AB,S5,Ethrane,Enflurane,250,ml,SLN,250,1,864.65,38.56,126.45,"1,029.66",4.12,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,34/20.2.8/0175,836095014,J05AE,S4,Norvir Sec 100 mg,Ritonavir,100,mg,CAP,84,1,61.69,5.17,9.36,76.21,0.91,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,31/20.2.8/0217,838527035,J05AE,S4,Norvir 80 mg/ml,Ritonavir,80,mg/ml,SOL,90,1,55.25,4.74,8.40,68.39,0.76,29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,32/21.10/0317,875295002,L02AE,S4,Lucrin  11.25,Leuprolide Acetate,11,mg,INJ,2,1,"4,225.30",272.92,629.76,"5,127.98","2,563.99",29 January 2016,,Generic,
0000001151,AbbVie (Pty) Ltd ,34/30.2/0240,883856005,J06BB,S4,Synagis 50 mg,Palivizumab,50,mg,INJ,1,1,"6,664.12",266.57,970.30,"7,900.99","7,900.99",29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,34/30.2/0241,883864001,J06BB,S4,Synagis 100 mg,Palivizumab,100,mg/ml,INJ,1,1,"10,779.79",431.19,"1,569.53","12,780.51","12,780.51",29 January 2016,,Originator,
0000001151,AbbVie (Pty) Ltd ,,883864001,,,,Trandolapril,2,mg,,,,,,,,,,,,
0000001151,AbbVie (Pty) Ltd ,2/10.2.2/211,894184008,R07AA,S1,Survanta,Beractant,25,mg/ml,INJ,4,1,"3,246.02",144.08,474.62,"3,864.71",966.18,29 January 2016,,Originator,
0000001152,Abex Pharmaceutica (Pty) Ltd,48/11.4.3/0436,721056001,A02BC,S4,Nexiflux 20,Esomeprazole,20,mg,TAB,28,1,186.53,16.79,28.46,231.78,8.28,10 April 2015,,Generic,
0000001152,Abex Pharmaceutica (Pty) Ltd,48/11.4.3/0436,721056002,A02BC,S4,Nexiflux 20,Esomeprazole,20,mg,TAB,14,1,93.28,8.39,14.23,115.90,8.28,10 April 2015,,Generic,
0000001152,Abex Pharmaceutica (Pty) Ltd,48/11.4.3/0437,721057001,A02BC,S4,Nexiflux 40,Esomeprazole,40,mg,TAB,28,1,287.77,25.90,43.91,357.58,12.77,10 April 2015,,Generic,
0000001152,Abex Pharmaceutica (Pty) Ltd,48/11.4.3/0437,721057002,A02BC,S4,Nexiflux 40,Esomeprazole,40,mg,TAB,14,1,143.89,12.95,21.96,178.80,12.77,10 April 2015,,Generic,
0000001152,Abex Pharmaceutica (Pty) Ltd,48/11.4.3/0438,721061001,A02BC,S4,Nectizole 20,Esomeprazole,20,mg,TAB,30,1,171.15,17.12,26.36,214.63,7.15,26 March 2015,,Generic,
0000001152,Abex Pharmaceutica (Pty) Ltd,48/11.4.3/0439,721062001,A02BC,S4,Nectizole 40,Esomeprazole,40,mg,TAB,30,1,255.55,25.56,39.36,320.47,10.68,26 March 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,41/26/0305,711328001,L01BA,S4,Methacor 25mg/ml,Methotrexate,25,mg/ml,INJ,2,1,19.80,2.20,3.08,25.08,12.54,22 September 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,41/26/0435,711367001,L01XA,S4,Accord-Carboplatin 10mg/ml Injection,Carboplatin,10,mg/ml,INJ,15,1,195.79,21.75,30.46,248.00,16.53,22 September 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,41/26/0435,711368001,L01XA,S4,Accord-Carboplatin 10mg/ml Injection,Carboplatin,10,mg/ml,INJ,45,1,587.25,65.25,91.35,743.85,16.53,22 September 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,41/26/1004,712603001,L01XX,S4,Accord Irinotecan 40,Irinotecan Hydrochloride Trihydrate,40,mg/2ml,INJ,2,1,295.58,32.84,45.98,374.40,187.20,22 September 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,41/26/1003,712643001,L01XX,S4,Irinotas ,Irinotecan hydrochloride ,20,mg/ml,INJ,2,1,292.50,32.50,45.50,370.50,185.25,03 July 2014,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,44/26/0025,712872001,L01XX,S4,Accord Irinotecan 100,Irinotecan Hydrochloride Trihydrate,100,mg/5ml,INJ,5,1,738.94,82.11,114.95,936.00,187.20,22 September 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,44/26/0024,712873001,L01XX,S4,Irinotas 100,Irinotecan hydrochloride,20,mg/ml,INJ,5,1,738.00,82.00,114.80,934.80,186.96,03 July 2014,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,41/26/1002,713432001,L01CA,S4,Accord-Vincristine 1mg/ml ,Vincristine Sulfate,2,mg/2ml,INJ,2,1,80.19,8.91,12.47,101.57,50.79,22 September 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,42/26/0903,713873001,L01BC,S4,Accord Gemcitabine 1g ,Gemcitabine hydrochloride,1000,mg/50ml,INJ,50,1,"1,097.37",121.93,170.70,"1,390.00",27.80,28 September 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,42/26/0088,713874001,L01BC,S4,Accord Gemcitabine 200mg ,Gemcitabine hydrochloride,200,mg/10ml,INJ,10,1,219.47,24.39,34.14,278.00,27.80,28 September 2015,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,42/2.6.5/0159,713964001,N05AX,S5,Rispacor 4 ,Risperidone,4,mg,TAB,30,1,804.53,89.39,125.14,"1,019.06",33.97,03 July 2014,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,42/2.6.5/0158,713965001,N05AX,S5,Rispacor 3,Risperidone,3,mg,TAB,30,1,502.10,55.79,78.11,636.00,21.20,16 July 2014,,Generic,
0000000985,Accord Healthcare (Pty) Ltd,42/2.6.5/0157,713966001,N05AX,S5,Rispacor 2,Risperidone,2,mg,TAB,30,1,361.33,40.15,56.20,457.68,15.26,03 July 2014,,Generic,
