Dtabase Of Medicine Prices 31st March 2010,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No,Applicant Name,Product MCC Registration No,Nappi Code,ATC 4 ,Schedule,Product Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,Originator or Generic,12 Months Volume of Sales
0000000403,Adcock Ingram Healthcare (Pty) Ltd,30/7.1/0183,839183003,C08DB,S3,Zildem 180 SR,Diltiazem,180,mg,SRC,30,,144.36,19.49,22.94,186.79,6.23,2009-03-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,30/7.1/0184,839191006,C08DB,S3,Zildem 240 SR  ,Diltiazem,240,mg,SRC,30,,144.92,19.56,23.03,187.52,6.25,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,30/7.1/0287,822213001,C08DB,S3,Zildem 60 ,Diltiazem,60,mg,TAB,50,,80.75,10.90,12.83,104.49,2.09,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,30/7.1/0287,822213029,C08DB,S3,Zildem 60 ,Diltiazem,60,mg,TAB,60,,96.91,13.08,15.40,125.39,2.09,2009-05-08,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,30/7.1/0288,824364007,C08DB,S3,Zildem 90 ,Diltiazem,90,mg,TAB,60,,222.05,29.98,35.28,287.31,4.79,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,33/2.2/0450,867365005,N05CF,S5,Zopimed,Zopiclone,8,mg,TAB,30,,41.07,5.55,6.53,53.15,1.77,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,G721 (OM),701750014,R03DA,S1,Adco-Alcophyllin ,Theophylline anhydrous,27,mg,LIQ,200,,6.87,0.93,1.09,8.89,0.04,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,30/2.6/0212,821071017,N05BA,S5,Adco-Alzam 0.25mg,Alprazolam,0,mg,TAB,100,,39.20,5.29,6.23,50.72,0.51,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,36/5.7.1/0369,707224001,R06AE,S2,Adco-Cetirizine, Cetirizine,10,mg,LIQ,150,,63.20,8.54,10.04,81.78,0.55,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,U/3.1/181,786594012,M01AB,S3,Adco-Diclofenac 25mg,Diclofenac sodium,25,mg,TAB,500,,76.24,10.29,12.11,98.64,0.20,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,U/3.1/182,788597027,M01AB,S3,Adco-Diclofenac 50mg,Diclofenac sodium,50,mg,TAB,500,,133.43,18.01,21.20,172.64,0.35,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,U/3.1/174,701114010,M01AB,S3,Adco-Diclofenac Inj 50x3ml,Diclofenac sodium,75,mg/3ml,INJ,50,,90.50,12.22,14.38,117.10,0.78,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/20.2.8/0929,709545001,J05AG,S4,Adco-Efavirenz 600mg,Efavirenz,600,mg,TAB,30,,118.80,16.04,18.88,153.72,5.12,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,38/21.8.2/0248,706126001,G03HA,S3,Adco-Fem 35, Cyproterone acetate ,2,mg,TAB,28,,56.37,7.61,8.96,72.93,2.60,2009-02-15,,,
,,,,,,,Ethinyloestradiol ,0,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/20.2.8/0331,708708001,J05AF,S4,Adco-Lamivudine ,Lamivudine,10,mg/ml,LIQ,240,,55.28,7.46,8.78,71.53,0.30,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/20.2.8/0236,707962001,J05AF,S4,Adco-Lamivudine 150mg Tablets,Lamivudine,150,mg,TAB,60,,69.45,9.38,11.04,89.86,1.50,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/20.2.8/0514,708713001,J05AF,S4,Adco-Lamivudine Solutuion Alcohol and Sugar free,Lamivudine,10,mg,LIQ,240,,55.28,7.46,8.78,71.53,0.30,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,G736 (OM),738263028,R05CA,S2,Adco-Linctus Tussi Infans , Extract ipecac liquid ,0,ml/10ml,LIQ,100,,2.77,0.37,0.44,3.59,0.04,2009-02-15,,,
,,,,,,,Extract squill liquid  ,0,ml/10ml,,,,,,,,,,,,
,,,,,,,Tolu solution ,0,ml/10ml,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,37/3.1/0235,705375002,M01AC,S3,Adco-Meloxicam,Meloxicam,15,mg,TAB,10,,23.42,3.16,3.72,30.31,3.03,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,A39/1.2/0217,708239001,,S5,"Adco-Mirteron
15mg",Metazapine,15,mg,TAB,30,,164.25,22.17,26.10,212.53,7.08,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,A39/1.2/0218,708242001,,S5,"Adco-Mirteron
30mg",Metazapine,30,mg,TAB,30,,249.53,33.69,39.65,322.87,10.76,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,H1403 (O/M),836141008,R01AB,S1,Adco-Naphensyl Nose Drops 1.0%,Phenylephrine HCl,100,10mg/ml,LIQ,10,,8.15,1.10,1.30,10.55,1.05,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/20.2.8/0235,707961001,J05AG,S4,Adco-Nevirapine 200mg tablets,Nevirapine,200,mg,TAB,60,,149.11,20.13,23.69,192.93,3.22,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,37/11.4.3/0228,703543002,A02BC,S4,Adco-Omeprazole 20mg,Omeprazole,20,mg,CAP,30,,97.63,13.18,15.51,126.32,4.21,2009-03-15,,,
,,,,,,,Caffeine anhyrdous ,25,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,38/7.1.3/0210,706235001,C09AA,S3,Adco-Quinaretic 10/12.5mg,Quinapril,10,mg,TAB,30,,55.18,7.45,8.77,71.40,2.38,2009-02-15,,,
,,,,,,,Hydrochlorothiazide,13,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,38/7.1.3/0211,706236001,C09AA,S3,Adco-Quinaretic 20/12.5mg,Quinapril,20,mg,TAB,30,,83.43,11.26,13.26,107.95,3.60,2009-02-15,,,
,,,,,,,Hydrochlorothiazide,13,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,X/5.8/383,704043001,N02BE,S1,Adco-Sinal NS ,Paracetamol,30,mg,TAB,20,,11.83,1.60,1.88,15.31,0.77,2009-02-15,,,
,,,,,,,Phenylephrine ,5,mg,,,,,,,,,,,,
,,,,,,,Caffiene anhyrdous ,25,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,B/2.8/80,768375010,N05BC,S5,Adco-Synaleve , Meprobamate ,200,mg,CAP,100,,137.72,18.59,21.88,178.20,1.78,2009-02-15,,,
,,,,,,,Paracetamol ,400,mg,,,,,,,,,,,,
,,,,,,, Codeine phosphate ,8,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/20.2.8/0237,707960001,J05AF,S4,Adco-Zidovudine 300mg Tablets,Zidovudine,300,mg,TAB,60,,124.62,16.82,19.80,161.25,2.69,2009-12-11,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/20.2.8/0511,708709001,J05AF,S4,Adco-Zidovudine Syrup 200ml,Zidovudine,50,mg,LIQ,200,,58.70,7.92,9.33,75.96,0.38,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/20.2.8/0510,708711001,J05AF,S4,Adco-Zidovudine Syrup Alcohol and Sugar free 200ml ,Zidovudine,50,mg,LIQ,200,,58.70,7.92,9.33,75.96,0.38,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,30/7.1/0183,839183003,C08DB,S3,Adco-Zildem 180mg,Diltiazem HCl,180,mg,TAB,30,,144.36,19.49,22.94,186.79,6.23,2009-02-15,,,
,,,,,,,Hydroxyethyl theophylline ,2,mg/5ml,,,,,,,,,,,,
,,,,,,,Diphenhydramine HCl ,7,mg/5ml,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,G720 (OM),701742003,R03DA,S2,Alcophyllex ,Theophylline ,17,mg/5ml,LIQ,100,,4.01,0.54,0.64,5.19,0.05,2009-02-15,,,
,,,,,,,Hydroxyethyl theophylline ,2,mg/5ml,,,,,,,,,,,,
,,,,,,,Diphenhydramine HCl ,7,mg/5ml,,,,,,,,,,,,
,,,,,,,Ammonium chloride ,120,mg/5ml,,,,,,,,,,,,
,,,,,,,Sodium citrate ,50,mg/5ml,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,G720 (OM),701742011,R03DA,S2,Alcophyllex ,Theophylline ,17,mg/5ml,LIQ,200,,8.03,1.08,1.28,10.39,0.05,2009-02-15,,,
,,,,,,,Hydroxyethyl theophylline ,2,mg/5ml,,,,,,,,,,,,
,,,,,,,Diphenhydramine HCl ,7,mg/5ml,,,,,,,,,,,,
,,,,,,,Ammonium chloride ,120,mg/5ml,,,,,,,,,,,,
,,,,,,,Sodium citrate ,50,mg/5ml,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,G720 (OM),701742038,R03DA,S2,Alcophyllex ,Theophylline ,17,mg/5ml,LIQ,2500,,100.44,13.56,15.96,129.96,0.05,2009-02-15,,,
,,,,,,,Hydroxyethyl theophylline ,2,mg/5ml,,,,,,,,,,,,
,,,,,,,Diphenhydramine HCl ,7,mg/5ml,,,,,,,,,,,,
,,,,,,,Ammonium chloride ,120,mg/5ml,,,,,,,,,,,,
,,,,,,,Sodium citrate ,50,mg/5ml,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,C807 (OM),702145010,R06AB,S2,Allergex Elixir,Chlorpheniramine maleate,2,mg/5ml,LIQ,100,,5.13,0.69,0.81,6.63,0.07,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,H1489 (OM),705632009,S02DA,S2,Aurasept , Benzocaine ,10,mg/ml,LIQ,15,,18.86,2.55,3.00,24.40,1.63,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,,,,,,Phenazone ,50,mg/ml,LIQ,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,G/10.1/1110,710636008,R06AA,S2,Broncleer For Children , Diphenhydramine HCl ,14,mg/5ml,LIQ,100,,11.82,1.60,1.88,15.30,0.15,2009-02-15,,,
,,,,,,,Ammonium chloride ,137,mg/5ml,,,,,,,,,,,,
,,,,,,,Sodium citrate ,57,mg/5ml,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,C 810 (OM),715301129,R06AB,S2,Colcleer,Chlorpheniramine maleate ,2,mg,TAB,120,,11.16,1.51,1.77,14.44,0.12,2009-02-15,,,
,,,,,,,Ephedrine HCl ,6,mg,,,,,,,,,,,,
,,,,,,,Paracetamol ,200,mg,,,,,,,,,,,,
,,,,,,, Caffeine ,20,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,38/10.1/0239,708132002,R05DA,S2,Dilinct Dry Syrup,Dextromethorphan hydrobromide ,15,mg/5ml,LIQ,200,,30.81,4.16,4.90,39.86,0.20,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,38/10.1/0239,708132001,R05DA,S2,Dilinct Dry Syrup,Dextromethorphan hydrobromide ,15,mg/5ml,LIQ,100,,15.40,2.08,2.45,19.92,0.20,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,37/13.9.1/0241,708636001,D05AX,S4,Dovobet Ointment 30g,Calcipotriol,50,mcg/g,OIN,30,,207.34,27.99,32.95,268.28,8.94,2009-02-15,,,
,,,,,,,Betamethasone,1,mg/g,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,37/13.9.1/0241,708636002,D05AX,S4,Dovobet Ointment 30g,Calcipotriol,50,mcg/g,OIN,60,,414.68,55.98,65.89,536.55,8.94,2009-09-19,,,
,,,,,,,Betamethasone,1,mg/g,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,Z/3.1/165,707853001,M01AE,S1,Fastum Gel  Dispenser,Ketoprofen,3,g,GEL,100,,68.12,9.20,10.82,88.13,0.88,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/5.7.1/0133,710836001,R06AX,S2,Fexaway 120,Fexofenadine hydrochloride,120,mg,TAB,10,,17.18,2.32,2.73,22.23,2.22,2009-01-23,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,41/5.7.1/0134,710837001,R06AX,S2,Fexaway 180,Fexofenadine hydrochloride,180,mg,TAB,30,,82.82,11.18,13.16,107.16,3.57,2009-01-23,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,A39/7.1.3/0422,709788001,C09CA,S3,Lepitrin,Losartan potassium,50,mg,TAB,30,,56.85,7.67,9.03,73.56,2.45,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,C/2.8/233,758493029,N02BE,S2,Pynstop , Paracetamol ,450,mg,TAB,100,,72.87,9.84,11.58,94.29,0.94,2009-02-15,,,
,,,,,,,caffeine ,45,mg,,,,,,,,,,,,
,,,,,,,doxylamine succinate,5,mg,,,,,,,,,,,,
,,,,,,,codeine phosphate ,10,mg,,,,,,,,,,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,A39/2.6/0072,707127001,NO5BX,S5,Stresam 50mg,Etifoxine HCI,50,mg,CAP,60,,122.92,16.59,19.53,159.04,2.65,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,C965 (OM),769681018,,S6,Tenuate Dospan ,Diethylpropion HCl,75,mg,TAB,30,,195.38,26.38,31.05,252.80,8.43,2009-02-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,,815527004,SO1GX,S2,Rhinolast Nasal Spray ,Azelastine,0,mg/ml,SPR,1,,40.91,4.09,6.30,51.30,51.30,2009-03-15,,,
0000000403,Adcock Ingram Healthcare (Pty) Ltd,,706558001,,S2,Optilast Eye Drops ,,0,mg/ml,DRP,1,,26.36,2.64,4.06,33.06,33.06,2009-03-15,,,
0000000338,AHN Pharma (Pty) Limited,,705446018,N05BB,S5,Aterax ,Hydroxyzine,2,mg/ml,SYR,100,,51.62,6.46,8.12,66.20,0.66,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,705462005,N05BB,S5,Aterax ,Hydroxyzine,25,mg,TAB,100,,179.84,22.48,28.33,230.65,2.04,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,705470016,N05BB,S5,Aterax ,Hydroxyzine,100,mg,TAB,100,,497.58,62.20,78.37,638.15,5.64,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,705497011,N05BB,S5,Aterax 2ml,Hydroxyzine,100,mg/2ml,INJ,10,,66.35,8.29,10.45,85.09,7.52,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,792519019,A07EC,S4,Dipentum  ,Olsalazine,250,mg,CAP,100,,256.49,32.06,40.40,328.95,2.91,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,793418003,C01DA,S3,Elantan,Isosorbide mononitrate,20,mg,TAB,60,,85.79,9.54,13.34,108.67,1.50,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,793418011,C01DA,S3,Elantan,Isosorbide mononitrate,20,mg,TAB,500,,714.95,79.43,111.21,905.59,1.50,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,860115003,C01DA,S3,Elantan LA,Isosorbide mononitrate,50,mg,SRC,30,,94.23,10.46,14.66,119.35,3.30,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,791806006,C01DA,S3,Isoket 10ml  ,Isosorbide dinitrate,1,mg/ml,INJ,10,,235.20,26.13,36.58,297.91,2.98,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,791784002,C01DA,S3,Isoket 50ml  ,Isosorbide dinitrate,1,mg/ml,INJ,1,,117.60,13.06,18.30,148.96,2.98,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,703165001,N03AX,S3,Keppra,Levetiracetam,750,mg,TAB,60,,747.12,93.39,117.67,958.18,14.11,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,700958003,N03AX,S3,Keppra ,Levetiracetam,250,mg,TAB,60,,249.04,31.13,39.22,319.39,4.70,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,743976002,R05CB,S2,Mistabron 12.5ml,Mesna,50,mg/ml,NAS,1,,74.03,9.25,11.67,94.95,83.88,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,743968018,R05CB,S2,Mistabron 3ml,Mesna,600,mg/3ml,SLN,6,,100.16,12.52,15.77,128.45,18.91,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,791776018,C01DA,S3,Nitrocine 10ml  ,Glyceryl trinitrate,1,mg/ml,INJ,10,,255.71,28.41,39.77,323.89,26.87,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,791792005,C01DA,S3,Nitrocine 50ml  ,Glyceryl trinitrate,1,mg/ml,INJ,1,,127.83,14.20,19.88,161.91,134.34,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,747467014,N06BX,S3,Nootropil ,Piracetam,400,mg,CAP,90,,159.11,19.89,25.06,204.06,2.00,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,747475008,N06BX,S3,Nootropil ,Piracetam,800,mg,TAB,30,,103.06,12.89,16.22,132.17,3.89,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,747483019,N06BX,S3,Nootropil 5ml,Piracetam,1000,mg/5ml,INJ,12,,177.70,22.21,27.99,227.90,16.78,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,747475017,N06BX,S3,Nootropil 800mg ,Piracetam,800,mg,TAB,90,,309.17,38.65,48.69,396.51,3.89,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,703450002,R06AE,S2,Xyzal  ,Levocetirizine,5,mg,TAB,7,,30.56,3.39,4.76,38.71,5.43,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,703450001,R06AE,S2,Xyzal  ,Levocetirizine,5,mg,TAB,30,,139.51,17.44,21.97,178.92,5.96,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,815535015,R06AE,S2,Zyrtec ,Cetirizine,10,mg/ml,DRP,15,,129.76,16.22,20.44,166.42,11.09,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,820946028,R06AE,S2,Zyrtec ,Cetirizine,1,mg/ml,SYR,150,,120.95,15.12,19.05,155.12,155.12,2009-02-16,,,
0000000338,AHN Pharma (Pty) Limited,,785377018,R06AE,S2,Zyrtec ,Cetirizine,10,mg,TAB,30,,98.91,12.37,15.58,126.86,4.23,2009-02-16,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,,806412003,SO1GX,S2,Alomide 10ml,Lodoxamide tromethamine,0,%,OPD,1,,96.25,15.93,15.70,127.88,127.88,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,34/15.4/0382,701523001,S01EC,S3,Azoptic OPD 5ml,Brinzolamide,1,%,OPD,1,,106.27,17.59,17.34,141.20,141.20,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,S/15.4/371,708445004,S01ED,S3,Betoptic 5ml,Betaxolol,1,%,OPD,1,,106.06,17.55,17.31,140.92,140.92,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,Z/15.4/150,836052005,S01ED,S3,Betoptic S 0.25% 5ml,Betaxolol,0,%,OPD,1,,109.75,18.16,17.91,145.83,145.83,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,28/15.4/0716,822868008,S01ED,S3,Betoptic S Single Dose 0.25ml,Betaxolol,0,%,OPD,50,,405.25,67.07,66.12,538.44,10.77,2009-02-20,,,
0000000697,Alcon Laboratories ,A39/16.2/0544,710689001,S01AX,S4,Cilodex 5ml,Ciprofloxacin,3,mg/ml,SUS,1,,125.08,20.70,20.41,166.19,166.19,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,35/15.1/0410,701064001,S01AX,S4,Ciloxan 3.5g,Ciprofloxacin,0,%,EYO,1,,88.75,14.69,14.48,117.92,117.92,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,Z/15.1/202,794104002,S01AX,S4,Ciloxan 5ml,Ciprofloxacin,0,%,OPD,1,,84.23,13.94,13.74,111.91,111.91,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,33/16.2/0024,878065008,S03AA,S4,Ciprobay HC Otic Drops 10ml,Ciprofloxacin,0,%,OPD,1,,102.13,16.90,16.66,135.69,135.69,2009-02-20,,,
,,,,,,,Hydrocortisone,1,%,,,,,,,,,,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,H.1147,717029018,S01FA,S3,Cyclogyl 1% 15ml,Cyclopentolate,1,%,OPD,1,,89.39,14.79,14.59,118.77,118.77,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,H.1149,717037002,S01FA,S3,Cyclomydril 5ml,Cyclopentolate,0,%,OPD,1,,81.94,13.56,13.37,108.87,108.87,2009-02-20,,,
,,,,,,,Phenylephrine,1,%,,,,,,,,,,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,33/3/0182,882911004,S01KA,S4,Duovisc 0.35 V / 0.4 P,Chondroitin sulfate,4,%,OPD,1,,690.98,114.36,112.75,918.09,918.09,2009-02-20,,,
,,,,,,,Hyaluronic acid,3,%,,,,,,,,,,,,
,,,,,,,Phenylephrine,1,%,,,,,,,,,,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,33/3/0182,882903001,S01KA,S4,Duovisc 0.50 V / 0.55 P,Chondroitin sulfate,3,%,COM,1,,968.48,160.28,158.03,"1,286.79","1,286.79",2009-02-20,,,
,,,,,,,Hyaluronic acid,4,%,,,,,,,,,,,,
,,,,,,,Phenylephrine,1,%,,,,,,,,,,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,,708877001,S01EE,S4,Duotrav 2.5ml,Travoprost                                      ,0,%,OPD,1,,191.37,31.67,31.23,254.26,254.26,2009-02-20,,,
,,,,,,,Timolol maleate,1,%,,,,,,,,,,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,34/15.4/0037,891449007,S01GX,S2,Emadine 5ml,Emedastine,1,%,OPD,1,,72.43,11.99,11.82,96.24,96.24,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,N/15.2/16,726702005,S01CB,S4,Flucon 5ml,Fluorometholone,0,%,INJ,1,,88.10,14.58,14.38,117.06,117.06,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,,726834009,S01JA,S1,Fluorescite 25% 5ml,Fluorescein,25,%,INJ,12,,"1,850.59",306.27,301.96,"2,458.82",204.90,2009-02-20,,,
0000000697,Alcon Laboratories S.A.(Pty)Ltd,30/15.4/0125,825484006,S01EA,S4,Iopidine 0.5% 10ml,Apraclonidine,1,%,OPD,1,,164.01,27.14,26.76,217.91,217.91,2009-02-20,,,
